expression,thermostability,specific activity,split,num_mutations
0.79,0.05,0.2,train,1
0.93,0.31,0.66,train,1
0.87,0.17,0.42,train,1
0.12,0.25,5.13,train,1
1.01,0.17,0.42,train,1
0.63,0.05,0.12,train,1
0.83,0.57,0.69,train,1
0.16,0.05,1.14,train,1
0.72,0.16,0.35,train,1
0.66,0.4,0.5,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.18,1.01,0.55,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.26,0.9,1.23,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.94,0.16,1.18,train,1
0.78,0.12,1.1,train,1
1.07,0.37,1.09,train,1
1.06,0.15,1.05,train,1
0.88,0.18,1.17,train,1
0.93,0.05,1.12,train,1
0.93,0.05,1.24,train,1
0.97,0.05,1.26,train,1
0.91,0.07,1.27,train,1
0.94,0.1,0.87,train,1
1.07,0.35,1.02,train,1
0.87,0.14,1.04,train,1
0.93,0.12,1.15,train,1
0.95,0.05,1.12,train,1
1.06,0.12,0.99,train,1
0.98,0.05,1.16,train,1
0.88,0.05,1.16,train,1
0.76,0.19,1.35,train,1
0.85,0.22,1.21,train,1
0.97,0.84,1.08,train,1
0.77,0.25,0.99,train,1
0.93,0.05,0.97,train,1
0.97,0.05,0.99,train,1
0.05,0.05,0.05,train,1
0.94,0.05,0.94,train,1
0.51,0.05,1.43,train,1
0.97,0.12,0.99,train,1
0.79,0.05,1.04,train,1
0.89,0.05,1.01,train,1
0.92,0.05,0.99,train,1
0.94,0.05,1.01,train,1
1.06,0.09,0.92,train,1
0.98,0.25,1.12,train,1
0.85,0.05,1.02,train,1
0.71,0.05,1.08,train,1
0.8,0.09,1.22,train,1
0.84,0.05,1.04,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.14,0.4,3.92,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.13,0.06,2.93,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.53,0.09,3.02,train,1
0.44,0.05,1.52,train,1
0.15,0.05,4.75,train,1
0.05,0.05,0.05,train,1
0.41,0.71,1,train,1
0.63,0.38,0.73,train,1
0.58,0.05,0.8,train,1
0.21,0.23,0.96,train,1
0.05,0.05,0.05,train,1
0.45,0.35,0.53,train,1
0.12,0.05,0.22,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.9,0.29,0.45,train,1
0.42,0.05,0.71,train,1
0.45,0.28,0.71,train,1
0.05,0.05,0.05,train,1
0.81,0.73,0.81,train,1
0.11,0.05,0.3,train,1
0.05,0.05,0.05,train,1
0.17,0.28,0.5,train,1
1.23,0.93,0.97,train,1
1.13,0.9,0.96,train,1
0.94,0.92,1.11,train,1
1.17,0.89,0.95,train,1
1.19,0.94,0.99,train,1
0.537,1.371,0.521427414,test,1
1.06,0.71,0.89,train,1
1.17,0.93,0.9,train,1
1.21,0.93,0.98,train,1
1.21,0.95,0.96,train,1
1.1,0.89,1.12,train,1
1.05,0.82,0.93,train,1
1.15,0.93,1.01,train,1
1.18,0.93,0.93,train,1
1.2,1.06,0.85,train,1
1.18,0.97,1.02,train,1
1.16,1,1,train,1
1.2,0.94,0.91,train,1
1.14,0.89,1.02,train,1
0.68,0.71,0.95,train,1
0.19,0.17,0.9,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.11,0.05,0.91,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.42,0.35,0.9,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.5,0.7,1.39,train,1
1.01,0.93,1.06,train,1
0.05,0.05,0.05,train,1
1.15,0.94,1.02,train,1
0.74,0.88,1.2,train,1
1.04,0.83,0.88,train,1
0.67,0.6,1.15,train,1
1.26,0.89,0.95,train,1
1.54,1.05,1.01,train,1
1.07,0.91,1.07,train,1
1.052,1.772,1.402,train,2
0.99,0.88,1.07,train,1
0.43,0.8,1.07,train,1
1.1,0.89,1.01,train,1
1.1,0.88,1.05,train,1
1.05,0.93,1,train,1
0.81,0.67,1.07,train,1
0.81,0.7,1.24,train,1
0.73,0.93,1.1,train,1
0.99,1.03,1.04,train,1
0.91,0.89,1.04,train,1
0.72,0.87,1.17,train,1
0.05,0.05,0.05,train,1
0.88,0.88,0.94,train,1
0.66,0.86,1.06,train,1
1.56,0.92,0.81,train,1
0.05,0.05,0.05,train,1
0.88,0.91,0.73,train,1
0.05,0.05,0.05,train,1
0.85,0.88,0.9,train,1
0.86,0.9,0.86,train,1
0.94,0.91,0.9,train,1
0.51,0.05,0.51,train,1
0.92,0.93,0.91,train,1
0.57,0.9,0.83,train,1
0.42,0.85,0.76,train,1
0.58,0.9,0.81,train,1
0.79,0.9,0.88,train,1
0.83,0.84,0.81,train,1
0.23,0.82,0.87,train,1
0.14,0.83,0.82,train,1
0.1,0.19,1.17,train,1
0.05,0.05,0.05,train,1
0.2,0.82,0.73,train,1
0.09,0.86,0.65,train,1
0.12,0.78,0.69,train,1
0.05,0.05,0.05,train,1
0.1,0.88,0.64,train,1
0.19,0.8,0.83,train,1
0.13,0.77,0.77,train,1
0.26,0.85,0.74,train,1
0.11,0.77,0.63,train,1
0.73,0.9,0.85,train,1
0.33,0.88,0.85,train,1
0.16,0.91,0.66,train,1
0.05,0.05,0.05,train,1
0.46,0.8,0.88,train,1
0.4,0.78,0.76,train,1
0.26,0.79,0.78,train,1
0.38,0.83,1.04,train,1
0.15,0.83,0.84,train,1
0.47,0.85,1.02,train,1
0.05,0.05,0.05,train,1
0.42,0.77,0.78,train,1
0.39,0.79,0.82,train,1
0.13,0.77,0.72,train,1
0.51,0.84,0.8,train,1
0.65,0.85,0.92,train,1
0.52,0.83,0.74,train,1
0.52,0.82,0.81,train,1
0.31,0.85,0.81,train,1
0.31,0.86,0.82,train,1
0.8,0.86,0.95,train,1
0.8,0.91,0.94,train,1
0.93,0.88,0.84,train,1
0.61,0.84,1.19,train,1
0.19,0.63,1.19,train,1
0.88,0.93,0.95,train,1
0.21,0.83,1.31,train,1
1.3,0.94,0.94,train,1
0.61,0.85,0.79,train,1
0.34,0.82,0.83,train,1
1.06,0.93,0.93,train,1
0.31,0.79,0.85,train,1
0.73,0.86,1,train,1
0.78,0.87,0.95,train,1
0.85,0.91,0.91,train,1
0.73,0.89,0.93,train,1
0.31,0.86,0.99,train,1
0.75,0.93,0.76,train,1
1.15,0.96,1.06,train,1
1.3,0.92,1.01,train,1
0.82,0.87,1.02,train,1
0.76,0.9,1.15,train,1
0.92,0.89,0.93,train,1
0.75,0.92,0.98,train,1
0.91,0.94,1.01,train,1
1.31,0.92,0.96,train,1
0.93,0.93,1,train,1
0.85,0.78,1.01,train,1
0.88,0.95,0.96,train,1
1.05,0.98,1.01,train,1
0.86,0.95,0.99,train,1
0.91,0.95,1.03,train,1
1.1,0.93,0.86,train,1
0.89,0.94,1,train,1
0.89,0.96,0.99,train,1
0.92,0.98,0.94,train,1
0.9,0.93,0.76,train,1
0.85,0.98,0.9,train,1
0.19,0.73,0.91,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.44,0.78,0.59,train,1
0.05,0.05,0.05,train,1
0.18,0.8,1.01,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.95,0.93,1.06,train,1
0.89,0.95,1,train,1
1.04,0.88,0.88,train,1
1.01,3.31,0.3,train,1
0.82,0.95,1.08,train,1
1.04,0.94,0.92,train,1
0.79,0.99,1.15,train,1
1.1,0.83,0.88,train,1
0.92,0.99,1.02,train,1
0.05,0.05,0.05,train,1
1.02,0.96,1.08,train,1
0.94,0.97,1.16,train,1
1.05,0.96,1.09,train,1
1.02,0.95,1.13,train,1
1.05,0.98,1.05,train,1
1,1,0.9,train,1
0.81,0.99,1.01,train,1
0.82,0.97,1.02,train,1
0.87,0.95,0.97,train,1
0.88,0.26,1.49,train,1
1.03,0.92,0.95,train,1
1.03,0.94,0.98,train,1
1.09,0.97,0.9,train,1
1.01,0.94,0.98,train,1
1.11,0.99,0.94,train,1
0.7,0.93,0.98,train,1
1.1,0.98,0.96,train,1
1.06,0.86,0.99,train,1
1.06,0.95,0.88,train,1
0.05,0.05,0.05,train,1
0.58,0.86,1,train,1
1.09,0.97,0.9,train,1
1.11,0.95,0.94,train,1
1.1,0.95,0.95,train,1
0.05,0.05,0.05,train,1
0.82,0.95,0.92,train,1
0.78,0.97,1,train,1
0.99,0.87,1.02,train,1
0.84,0.89,1.07,train,1
0.62,0.88,0.99,train,1
0.79,0.9,0.99,train,1
0.37,0.89,0.88,train,1
0.59,0.9,1.05,train,1
1.24,0.96,0.88,train,1
0.05,0.05,0.05,train,1
0.35,0.91,1.15,train,1
0.54,0.91,0.96,train,1
0.55,0.88,1.02,train,1
0.82,0.89,1.05,train,1
0.05,0.05,0.05,train,1
0.61,0.89,0.96,train,1
0.59,0.9,1.02,train,1
0.91,0.96,1.01,train,1
0.63,0.93,0.95,train,1
0.07,0.96,1.24,train,1
0.45,0.91,1,train,1
0.45,0.95,0.88,train,1
0.14,0.05,1.47,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.77,1.01,0.92,train,1
1.32,0.92,0.88,train,1
0.95,0.94,1.07,train,1
0.89,2.74,0.31,train,1
0.84,0.93,0.98,train,1
0.95,0.96,1.05,train,1
0.79,0.96,0.89,train,1
0.97,1.03,1.05,train,1
0.76,0.92,1.01,train,1
0.92,0.92,1.01,train,1
0.98,0.91,0.95,train,1
0.05,0.05,0.05,train,1
0.92,0.94,1.05,train,1
0.91,0.97,0.98,train,1
0.05,0.05,0.05,train,1
0.81,0.96,0.95,train,1
1.45,0.94,0.9,train,1
0.85,1.01,1.08,train,1
0.87,1.02,0.94,train,1
0.93,0.91,1.04,train,1
1.3,1.01,0.92,train,1
1.46,0.98,0.98,train,1
0.8,1.3,0.67,train,1
0.89,0.9,0.81,train,1
0.9,1,0.9,train,1
0.53,0.96,0.69,train,1
0.89,0.97,0.97,train,1
1.38,1.03,0.8,train,1
0.93,0.94,1.02,train,1
1,0.9,0.91,train,1
0.07,0.69,0.63,train,1
0.9,0.91,0.89,train,1
1.4,1,0.84,train,1
0.88,0.94,0.95,train,1
0.73,0.93,0.99,train,1
0.41,0.95,0.69,train,1
0.05,0.05,0.05,train,1
0.69,1,1.03,train,1
1.134,0.93,0.743,train,1
1.034,0.945,0.965,train,1
1.049,0.916,0.837,train,1
1.022,0.904,1.034,train,1
0.966,0.975,0.975,train,1
0.846,0.97,0.942,train,1
1.01,0.961,0.807,train,1
0.951,0.931,0.92,train,1
1.095,0.934,0.842,train,1
1.091,0.945,0.848,train,1
0.538,0.957,0.891,train,1
1.077,0.965,0.844,train,1
1.072,0.95,0.721,train,1
1.1,0.974,0.941,train,1
1.018,1.02,0.806,train,1
0.891,1.014,0.872,train,1
1,0.958,0.882,train,1
0.91,0.95,0.99,train,1
0.91,0.92,0.97,train,1
0.97,0.95,1.05,train,1
0.89,0.93,1.01,train,1
0.71,0.96,1.12,train,1
0.94,0.99,0.99,train,1
0.56,0.97,1.03,train,1
0.88,0.97,0.94,train,1
0.89,0.92,0.91,train,1
0.94,0.95,0.99,train,1
0.46,0.92,0.71,train,1
0.9,0.94,0.96,train,1
0.91,0.91,0.98,train,1
0.97,0.94,1.06,train,1
0.9,0.99,1.05,train,1
0.68,0.95,0.84,train,1
0.55,0.94,1.28,train,1
0.85,0.94,0.94,train,1
0.89,0.05,1.25,train,1
0.11,0.88,0.85,train,1
0.75,0.96,1.05,train,1
0.79,1.46,0.86,train,1
0.67,0.93,1.24,train,1
0.91,0.95,1.1,train,1
0.29,0.96,0.96,train,1
0.73,0.97,1.08,train,1
0.61,0.94,1.27,train,1
0.7,0.94,1.22,train,1
0.84,0.91,1.09,train,1
0.05,0.05,0.05,train,1
0.85,0.98,1.21,train,1
0.85,0.93,1.08,train,1
0.83,0.97,1.12,train,1
0.68,0.97,1.23,train,1
0.41,0.95,1.02,train,1
0.57,0.95,1.27,train,1
0.76,0.96,1.11,train,1
0.87,0.91,1.03,train,1
0.98,0.9,0.63,train,1
0.14,0.93,1.24,train,1
0.09,0.95,1.07,train,1
0.73,0.91,0.77,train,1
0.47,0.96,0.86,train,1
0.1,0.99,0.63,train,1
0.3,0.93,0.85,train,1
0.67,0.87,0.73,train,1
0.17,0.88,1.14,train,1
0.05,0.05,0.05,train,1
0.15,0.99,0.83,train,1
0.07,0.86,0.59,train,1
0.5,0.92,1.01,train,1
0.46,0.92,0.86,train,1
0.38,0.98,0.9,train,1
0.05,0.05,0.05,train,1
0.43,0.89,0.58,train,1
0.95,0.85,0.24,train,1
0.43,0.83,0.22,train,1
1.15,1.17,0.16,train,1
0.95,1.01,0.28,train,1
0.6,0.89,0.19,train,1
0.62,0.88,0.4,train,1
0.85,0.69,0.08,train,1
0.25,1.22,0.06,train,1
0.34,0.05,0.16,train,1
0.55,0.86,0.57,train,1
0.75,0.87,0.18,train,1
0.05,0.05,0.05,train,1
1.16,0.85,0.54,train,1
0.31,0.55,0.05,train,1
0.85,0.93,0.26,train,1
0.38,0.83,0.17,train,1
1.02,0.92,0.11,train,1
0.72,0.93,0.27,train,1
0.5,1.01,0.18,train,1
0.48,0.83,0.79,train,1
0.17,0.9,1.21,train,1
0.99,0.91,1,train,1
1,0.92,1.01,train,1
0.91,0.89,1.04,train,1
0.9,0.99,1.12,train,1
0.96,0.96,0.96,train,1
0.3,0.49,1.37,train,1
1,0.98,1.09,train,1
1.05,0.62,0.99,train,1
0.98,0.92,1,train,1
0.17,0.84,1.28,train,1
0.98,0.94,0.88,train,1
1.01,0.91,1,train,1
0.99,0.97,0.95,train,1
0.94,0.95,1.03,train,1
0.85,0.86,1.1,train,1
1.11,0.99,1.07,train,1
0.71,1,0.97,train,1
0.89,0.99,1.24,train,1
0.96,1.01,0.93,train,1
0.85,0.97,1.02,train,1
0.83,1.02,1.29,train,1
0.5,1.05,1.03,train,1
1.05,1.01,0.98,train,1
0.31,1.01,1.19,train,1
0.78,0.96,1.09,train,1
0.66,0.97,1.51,train,1
0.07,0.98,1.79,train,1
1.04,1.04,1,train,1
1.01,1,0.299141546,train,1
0.053,1.587,0.143,train,2
0.172,1.34,0.135,train,3
0.963,1.994,0.676,test,4
0.112,1.06,0.139,test,5
0.243,1.792,0.148,train,5
0.226,1.362,0.202,train,5
0.091,1.454,0.121,train,6
0.29,1.318,0.252,train,4
0.684,1.727,0.381,train,5
0.653,1.518,0.479,train,6
0.188,1.721,0.18,train,5
0.236,1.634,0.266,train,5
0.241,2.09,0.983,train,4
0.417,2.872,1.393,test,4
0.199,2.108,0.15,train,5
0.927,4.699,0.58,train,5
0.97,6.875,0.845,train,5
0.49,6.79,1.528,train,7
0.845,6.541,1.038,train,6
0.958,1.797,1.108,train,2
0.238,1.306,0.216,train,2
0.097,1.453,0.167,train,3
1.137,3.494,2.537,train,5
0.149,1.11,0.114,test,3
0.176,1.113,0.16,train,4
0.087,1.668,0.161,test,3
0.221,1.36,0.145,test,3
0.239,1.382,0.139,train,4
0.171,1.371,0.129,test,4
0.101,1.667,0.099,train,4
0.307,1.902,0.17,test,4
0.283,1.613,0.181,train,5
0.158,1.617,0.121,train,5
0.175,1.748,0.197,test,3
0.172,1.524,0.274,test,4
0.101,1.209,0.147,test,4
1.046,2.951,1.516,train,8
1.003,2.976,1.272,train,8
0.3,1.66,0.186,train,4
0.335,1.735,0.243,train,4
0.176,1.633,0.161,test,5
0.348,1.667,0.259,test,6
0.457,1.968,0.349,test,6
0.586,2.132,0.676,train,5
0.455,1.163,0.254,train,2
0.135,1.282,0.124,test,3
0.133,1.34,0.098,train,3
0.253,1.292,0.18,test,4
0.075,0.992,0.051,train,3
0.208,1.349,0.105,train,4
0.312,1.771,0.204,train,2
0.384,1.395,0.288,test,3
0.379,1.136,0.228,test,4
0.059,1.4,0.119,train,3
0.238,1.177,0.202,train,4
0.054,1.362,0.11,train,5
1.142,2.155,1.406,train,4
0.432,2.871,1.159,train,3
0.123,1.282,0.106,train,2
0.2,1.359,0.159,test,4
0.078,1.557,0.064,train,3
0.249,1.657,0.244,test,2
0.236,1.753,0.211,train,4
0.522,1.85,0.437,train,3
0.181,1.758,0.184,test,4
0.123,1.714,0.188,train,5
0.214,0.05,0.419,train,4
1.003,4.171,2.318,train,5
0.254,3.627,0.347,train,6
1.11,0.97,1.01,train,1
1.844,3.649,1.848,train,6
0.92,1.487,0.883,train,5
0.862,1.484,0.755,train,6
0.927,1.446,0.926,train,5
0.966,1.989,1.145,train,5
2.012,3.219,1.986,test,5
1.653,2.501,1.955,train,4
0.931,1.084,0.887,train,6
1.935,2.593,1.937,test,4
1.951,2.793,1.911,test,4
0.918,1.221,0.907,train,5
0.962,1.352,0.94,train,4
0.909,1.53,0.942,train,5
2.172,3.316,2.337,test,4
2.17,3.504,2.353,test,3
0.915,1.486,0.802,test,6
1.94,3.446,2.145,test,5
0.984,1.908,1.174,train,6
1.994,3.483,2.171,test,6
2.12,2.623,2.213,test,2
1.978,3.345,1.969,test,3
0.84,1.05,1.06,train,1
0.64,1.06,1.4,train,1
0.75,0.95,0.99,train,1
0.8,1.02,1.25,train,1
0.05,0.05,0.05,train,1
0.24,0.05,0.1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.67,0.05,0.05,train,1
0.97,0.06,0.05,train,1
0.25,1.97,0.05,train,1
1.01,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.29,0.07,0.21,train,1
0.05,0.05,0.05,train,1
0.09,0.31,0.16,train,1
0.05,0.05,0.05,train,1
1.58,0.05,0.45,train,1
0.05,0.05,0.05,train,1
0.07,0.05,0.33,train,1
1.52,0.05,0.86,train,1
0.64,0.05,0.34,train,1
1.07,0.05,0.44,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
1.05,0.11,0.05,train,1
0.97,0.08,0.14,train,1
0.55,0.19,0.08,train,1
0.68,0.08,0.13,train,1
0.05,0.05,0.05,train,1
0.87,0.12,0.05,train,1
0.05,0.05,0.05,train,1
0.9,49.18,0.05,train,1
0.98,0.16,0.18,train,1
1,0.05,0.1,train,1
1.01,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.99,0.05,0.09,train,1
0.94,0.05,0.05,train,1
1.08,0.05,0.1,train,1
0.66,1.95,0.05,train,1
0.05,0.05,0.05,train,1
0.84,0.05,0.05,train,1
0.95,0.05,0.05,train,1
1.096,0.734,0.737,train,1
1.002,0.617,1.064,train,1
0.951,0.958,0.868,train,1
1.05,0.757,1.084,train,1
0.932,1.139,1.116,train,1
0.901,1.108,1.24,train,1
1.025,0.834,0.977,train,1
1.052,0.83,0.943,train,1
0.985,0.955,0.965,train,1
0.633,0.008,1.09,train,1
1.025,0.79,1.012,train,1
0.331,3.182,1.191,train,2
0.969,1.108,1.097,train,1
0.972,0.751,0.997,train,1
1.061,0.774,0.963,train,1
0.927,0.944,1.215,train,1
0.268,1.297,0.468486559,train,1
0.426,1.429,0.272,test,2
0.068,1.194,0.119,train,3
0.79,0.94,1.27,train,1
0.9,0.89,0.95,train,1
1.2,0.98,0.94,train,1
1.12,0.95,0.96,train,1
0.82,0.96,0.94,train,1
1.22,1.04,0.92,train,1
0.63,0.83,1.14,train,1
1.2,0.92,0.93,train,1
0.78,0.93,0.99,train,1
0.78,0.68,1.08,train,1
1.43,0.99,0.92,train,1
0.69,0.98,1.46,train,1
1.27,1.07,0.93,train,1
1.41,0.96,1,train,1
1.15,0.96,0.89,train,1
0.74,0.9,1.3,train,1
0.76,0.87,1.07,train,1
0.82,0.93,0.96,train,1
0.71,1.2,1.42,train,1
0.7,0.88,0.23,train,1
0.63,0.88,0.12,train,1
0.5,0.98,0.13,train,1
0.75,0.89,0.3,train,1
0.39,0.9,0.05,train,1
0.67,0.81,0.05,train,1
0.11,0.17,0.2,train,1
0.46,0.82,0.2,train,1
0.8,0.97,0.12,train,1
0.6,1.18,0.05,train,1
0.62,0.94,0.38,train,1
0.45,0.05,0.05,train,1
0.22,0.94,0.21,train,1
0.61,1.12,0.12,train,1
0.46,1.07,0.05,train,1
0.26,0.3,0.05,train,1
0.75,0.05,0.05,train,1
0.97,1.07,0.94,train,1
1,1.06,0.93,train,1
0.05,0.05,0.05,train,1
0.08,0.89,1.1,train,1
0.43,1.01,0.9,train,1
0.39,1.08,1.04,train,1
0.98,0.98,1.07,train,1
0.05,0.05,0.05,train,1
1.07,1.02,0.92,train,1
1.01,1.03,0.97,train,1
0.18,1,0.89,train,1
0.06,0.95,1.04,train,1
0.07,0.89,1.03,train,1
0.05,0.05,0.05,train,1
0.88,1.07,0.97,train,1
0.88,1.04,1.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.83,0.97,1.24,train,1
0.95,0.97,1.04,train,1
0.91,0.97,1.12,train,1
0.66,0.99,1.01,train,1
1.16,0.99,0.99,train,1
0.96,1,1.05,train,1
1.42,1.03,1.05,train,1
1.03,0.95,1.02,train,1
0.77,0.97,1.14,train,1
0.9,0.69,1.14,train,1
1,0.93,1,train,1
0.21,0.9,1.24,train,1
0.95,1.02,1.02,train,1
0.97,0.96,1.02,train,1
0.94,0.97,0.94,train,1
1.35,1.03,0.93,train,1
1.39,0.99,1.03,train,1
0.8,0.99,1.15,train,1
0.92,0.96,1.14,train,1
1.11,1.05,1.15,train,1
0.56,0.97,1.17,train,1
0.85,1.07,1,train,1
0.96,1.07,1.03,train,1
0.91,0.97,1.04,train,1
0.87,1.03,1.1,train,1
0.91,0.99,1.16,train,1
0.94,1,1.16,train,1
0.8,0.99,1.05,train,1
0.92,1.03,1.08,train,1
0.89,1.02,1.12,train,1
0.86,1.01,1.13,train,1
0.91,0.99,1.57,train,1
0.62,0.98,1.18,train,1
0.88,1.04,1.06,train,1
0.98,1.02,1.07,train,1
1.07,0.97,1.11,train,1
0.89,1.03,1.04,train,1
0.8,0.98,1.15,train,1
0.6,0.74,0.95,train,1
0.36,0.79,1.1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.75,0.95,1.22,train,1
0.37,0.71,0.98,train,1
0.3,0.84,1.01,train,1
0.05,0.05,0.05,train,1
0.7,0.7,0.93,train,1
0.68,0.95,1.24,train,1
0.18,0.63,1.36,train,1
0.05,0.05,0.05,train,1
0.07,0.58,1.37,train,1
0.07,0.28,1.53,train,1
0.32,0.72,0.88,train,1
0.29,0.73,1.11,train,1
0.87,0.92,1.04,train,1
0.48,0.88,1.02,train,1
0.05,0.05,0.05,train,1
0.38,0.98,0.98,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.23,0.71,0.96,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.83,0.96,1.02,train,1
0.22,0.9,0.67,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.18,0.99,1.02,train,1
0.95,1.06,0.94,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.19,1.03,1.4,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.62,0.98,1.19,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.89,1.05,0.97,train,1
0.49,0.73,1.13,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.15,0.85,1.37,train,1
1.08,1.05,0.75509304,train,1
0.569,1.423,0.372,test,2
0.946,2.599,1.053,train,2
0.815,1.951,1.034,test,3
0.824,2.015,1.495,train,3
1.926,2.704,2.185,test,3
0.486,2.582,0.744,train,4
0.64,2.239,1.42,train,4
0.823,2.174,1.017,train,5
0.067,1.607,0.073,train,2
0.206,1.259,0.101,train,3
0.664,1.779,0.36,test,4
0.344,1.862,0.19,train,3
0.339,1.515,0.139,train,4
0.104,1.803,0.092,test,5
0.219,1.789,0.127,train,4
0.676,2.923,0.859,train,2
1.333,2.687,1.342,train,3
0.613,1.565,0.825,train,4
1.231,2.905,1.099,train,2
0.322,1.55,0.398,train,4
0.36,1.609,0.249,train,3
0.295,1.561,0.219,test,3
0.063,1.467,0.092,train,2
0.805,1.606,1.093,train,7
0.502,2.349,0.594,train,4
0.598,2.017,0.423,train,5
1.291,2.875,1.37,train,7
0.782,2.858,1.033,train,4
0.577,2.405,0.921,train,5
1.274,3.86,1.33,train,2
0.788,2.954,1.129,train,6
0.75,1.871,1.123,train,4
0.772,2.316,1.43,test,5
1.122,2.779,1.451,train,5
0.593,2.158,1.158,train,5
0.522,2.135,1.575,train,6
0.769,3.276,0.829,train,3
1.185,3.101,1.382,train,4
